Designator,Mid X,Mid Y,Rotation,Layer
C1,66.4,-37.6,90.0,bottom
C10,104.8,-143.235,270.0,bottom
C11,82.5,-100.5,270.0,bottom
C12,85.3,-37.5,90.0,bottom
C13,88.7,-100.5,270.0,bottom
C14,88.4,-37.5,90.0,bottom
C15,85.6,-100.5,270.0,bottom
C16,82.2,-37.5,90.0,bottom
C17,218.2,-37.5,90.0,bottom
C18,214.2,-100.6,270.0,bottom
C19,180.55,-106.65,270.0,bottom
C2,59.15,-100.38,270.0,bottom
C20,198.65,-106.875,270.0,bottom
C21,221.3,-37.5,90.0,bottom
C22,220.4,-100.6,270.0,bottom
C23,215.1,-37.5,90.0,bottom
C24,217.3,-100.6,270.0,bottom
C25,195.13,-142.6,270.0,bottom
C26,198.69,-142.6,270.0,bottom
C27,235.4,-100.6,270.0,bottom
C28,236.7,-37.5,90.0,bottom
C29,241.6,-100.6,270.0,bottom
C3,122.675,-107.6,270.0,bottom
C30,239.8,-37.5,90.0,bottom
C31,238.5,-100.6,270.0,bottom
C32,233.6,-37.5,90.0,bottom
C33,151.71,-106.035,180.0,bottom
C34,162.3,-125.4,270.0,bottom
C35,141.1,-125.4,270.0,bottom
C36,137.635,-121.575,270.0,bottom
C37,236.75,-76.25,0.0,bottom
C38,134.495,-121.6,90.0,bottom
C39,244.2,-76.3,180.0,bottom
C4,140.42,-107.545,270.0,bottom
C40,218.7,-76.35,0.0,bottom
C41,131.325,-121.61,90.0,bottom
C43,244.7,-100.61,90.0,bottom
C44,68.46,-100.38,270.0,bottom
C46,71.8,-74.6,180.0,bottom
C47,244.63,-68.83,270.0,bottom
C48,157.305,-45.86,180.0,bottom
C49,146.77,-80.8,270.0,bottom
C5,69.5,-37.6,90.0,bottom
C50,143.585,-80.77,270.0,bottom
C51,140.4,-80.74,270.0,bottom
C52,137.215,-80.735,270.0,bottom
C53,134.03,-80.71,270.0,bottom
C54,130.845,-80.74,270.0,bottom
C55,177.7,-128.04,180.0,bottom
C56,178.815,-80.78,270.0,bottom
C57,175.69,-80.77,270.0,bottom
C58,172.535,-80.76,270.0,bottom
C59,169.38,-80.755,270.0,bottom
C6,65.35,-100.38,270.0,bottom
C60,166.27,-80.755,270.0,bottom
C61,163.155,-80.765,270.0,bottom
C62,160.01,-80.745,270.0,bottom
C63,156.87,-80.72,270.0,bottom
C64,127.66,-80.74,270.0,bottom
C65,124.475,-80.715,270.0,bottom
C7,63.3,-37.6,90.0,bottom
C8,62.25,-100.38,270.0,bottom
C9,107.9,-143.21,270.0,bottom
J16,162.235,-95.53,180.0,bottom
J17,110.02,-45.21,180.0,bottom
J18,130.6825,-95.53,180.0,bottom
J19,141.2,-95.53,180.0,bottom
J2,116.415,-95.52,180.0,bottom
J20,151.7175,-95.53,180.0,bottom
J21,172.7525,-95.53,180.0,bottom
J22,120.025,-45.21,180.0,bottom
J26,228.18,-101.87,180.0,bottom
J27,75.04,-101.3,180.0,bottom
J28,200.2,-82.575,90.0,bottom
J35,185.5,-45.32,180.0,bottom
J36,168.355714,-72.26,180.0,bottom
J37,135.295,-72.265,180.0,bottom
J4,187.02,-95.53,180.0,bottom
R1,107.9,-132.59,270.0,bottom
R2,104.77,-132.605,270.0,bottom
R3,195.11,-132.56,270.0,bottom
R4,198.69,-132.55,270.0,bottom
R5,90.26,-68.78,90.0,bottom
R6,170.46,-123.05,0.0,bottom
R7,194.43,-66.03,270.0,bottom
R8,205.2,-68.175,270.0,bottom
S1,113.705,-109.235,0.0,top
S2,131.805,-109.235,0.0,top
S3,171.58,-109.235,0.0,top
S4,189.645,-109.235,0.0,top
SW10,241.4,-50.35,0.0,top
SW11,151.7,-119.3,0.0,top
SW2,62.0,-50.45,0.0,top
SW3,62.0,-87.15,0.0,top
SW4,87.6,-87.15,0.0,top
SW5,87.6,-50.45,0.0,top
SW7,215.8,-50.35,0.0,top
SW8,215.8,-87.25,0.0,top
SW9,241.4,-87.25,0.0,top
TP1,97.985,-47.415,180.0,bottom
TP2,205.785,-45.88,180.0,bottom
TP3,205.785,-37.14,180.0,bottom
U1,151.17,-140.66,180.0,bottom
U2,148.9,-69.0,0.0,top
U3,179.31,-121.78,180.0,bottom
U4,73.12,-67.49,90.0,bottom
U5,228.82,-67.5,270.0,bottom
U7,151.74,-53.545,270.0,bottom
